,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1
30,Technology Recruiting Solutions,Melbourne VIC,Australie,Advanced Analytics Manager – Data Science,,"Posted
Posted 30+ days ago","Experience in data mining, statistical methods, machine-learning.
The perfect candidate will have a degree or PHD in Mathematics, Statistics or Computer Science…"
31,Coles Group,Hawthorn East VIC 3123,Australie,Data Science Lead,,"Posted
Posted 30+ days ago",Analytics professional with a proven track record (5+ years) in advanced analytics / data science / Measurement science and/or Econometrics.
32,Google,Sydney NSW,Australie,"Senior Research Scientist, Multilingual NLP",,"Posted
Just posted","From creating experiments and prototyping implementations to designing new architectures, our research scientists work on real-world problems that span the…"
33,Qantas Airways Limited,Sydney NSW,Australie,Digital Analytics Implementation Specialist,,"Posted
Posted 1 day ago","Proficiency in data analysis tools such as SQL, R or Python is a plus.
Ability to translate business requirements into efficient and reliable data solutions."
34,Accenture,Brisbane QLD,Australie,Data Engineers - Databricks,,"Posted
Posted 30+ days ago","Experience with advanced analytics and machine learning frameworks such as Apache Spark MLlib, TensorFlow, or PyTorch.
Strong SQL, Python, PySpark knowledge."
35,Agency for Clinical Innovation,Sydney NSW,Australie,"Stream Manager, Innovation Modelling & Data Science",,"Posted
Posted 8 days ago","Relevant tertiary qualifications and extensive experience in biostatistics, machine learning, computer science or a related discipline."
36,Deakin University,Melbourne VIC,Australie,"Associate Professor / Professor, Artificial Intelligence and Machine Learning",,"Posted
Posted 28 days ago","Candidates should bring demonstrated experience in driving innovative, practical approaches to teaching and learning, assessment, and research."
37,Visa,Sydney NSW,Australie,Jr. Data Scientist (Fixed-term),,"Posted
Posted 30+ days ago","Experience with extracting and aggregating data from large data sets using SQL or other tools.
Experience in using data driven analytics to develop dashboards,…"
38,carsales,Melbourne VIC,Australie,Marketing Data Analytics Manager,,"Posted
Posted 30+ days ago","Drive change through data and set strategic priorities for the marketing analytics team.
Writing SQL queries to extract data from multiple and various data…"
39,Vanguard,Hybrid remote in Melbourne VIC 3000,Australie,Senior Compliance Specialist - Data and Analytics,,"Posted
Just posted","Identifies discrepancies in collected data and possible solutions.
Identifies compliance data sources, leads the generation of information and insights via…"
40,Visa,Sydney NSW,Australie,Data Science Manager,,"Posted
Posted 30+ days ago","Experience being data scientist/engineer or analytics consultant.
Build data driven solutions/data science models aligned with client's priorities and leading…"
41,Atlassian,Sydney NSW 2000,Australie,Senior Engineering Manager - AI & ML Platform,,"Posted
Posted 30+ days ago","Experience in AI & ML or Data.
You will be responsible for building effective teams, empowering them to achieve their goals, and putting those goals into a…"
42,Firesoft People,Sydney NSW,Australie,Lead Cloud Architect (ML/AI/Data),,"Posted
Posted 30+ days ago","Bachelor’s degree or equivalent practical experience.
Data and analytics tech ML and AI (ideal).
Experience in data infrastructure and application modernization…"
43,S2M Digital,Remote,Australie,Machine Learning Engineer,,"Posted
Posted 26 days ago","Degree in computer science, mathematics, electronic engineering, or equivalent practical experience.
Proficiency in preprocessing and modeling with unstructured…"
44,Laneway Analytics,Hybrid remote in Melbourne VIC,Australie,Actuarial Analyst – superannuation and data analytics,,"Posted
Posted 30+ days ago","Experience working with Tableau or equivalent data visualisation and BI tools (e.g. Tableau, PowerBI).
Exposure to advanced analytics applications, with the…"
45,RPMGlobal Holdings Limited,Brisbane QLD 4000,Australie,Software Consultant (Data Analytics),,"Posted
Posted 30+ days ago","Experience in implementing and maintaining data driven software to provide value for clients.
The Software Consultant will be responsible for providing support…"
46,TikTok,Sydney NSW,Australie,"Research Engineer - Multimodal Machine Learning, Trust and Safety (Australia)",,"Posted
Posted 30+ days ago","3+ years experience in one or more of the areas: machine learning, deep learning, computer vision, NLP, Audio, content understanding or participating in large…"
47,Coles Group,Hawthorn East VIC 3123,Australie,Principal Data Science Architec,,"Posted
Posted 30+ days ago","This role will also have you research new opportunities in areas of prediction, regression, machine learning, text mining, NLP and emergent AI techniques to…"
48,The City of Stirling,Stirling WA,Australie,Analytics Officer,,"Posted
Posted 9 days ago",Deliver community safety and related data analytics to support the delivery of outcomes in the City’s Strategic Community Plan.
49,Central Australian Aboriginal Congress,Alice Springs NT,Australie,Senior Data Analyst,,"Posted
Posted 2 days ago","The primary focus of the Senior Data Analyst (SDA) is to provide high-quality data and analytics to support ongoing management, reporting and evaluation across…"
50,Schlumberger,Perth WA,Australie,"Sample Catchers, Experienced Mud Logger, Data Analysts",,"Posted
Today","Minimum BSc in Geology, Geological Applied Sciences, Earth Sciences or Applied Sciences, Diploma degree in Oil and Gas or related."
