,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1,scraping_date
34,Deakin University,Melbourne VIC,Australie,"Associate Professor / Professor, Artificial Intelligence and Machine Learning",,"Posted
Posted 29 days ago","Candidates should bring demonstrated experience in driving innovative, practical approaches to teaching and learning, assessment, and research.",18-01-2024
35,BHP,Brisbane QLD,Australie,Data Scientist,,"Posted
Posted 10 days ago","Apply machine learning and statistical modelling techniques.
You will have a related tertiary qualification in Engineering, Computer Science, Mathematics or…",18-01-2024
36,Visa,Sydney NSW,Australie,Jr. Data Scientist (Fixed-term),,"Posted
Posted 30+ days ago","Experience with extracting and aggregating data from large data sets using SQL or other tools.
Experience in using data driven analytics to develop dashboards,…",18-01-2024
37,Accenture,Brisbane QLD,Australie,Data Engineers - Databricks,,"Posted
Posted 30+ days ago","Experience with advanced analytics and machine learning frameworks such as Apache Spark MLlib, TensorFlow, or PyTorch.
Strong SQL, Python, PySpark knowledge.",18-01-2024
38,Agency for Clinical Innovation,Sydney NSW,Australie,"Stream Manager, Innovation Modelling & Data Science",,"Posted
Posted 9 days ago","Relevant tertiary qualifications and extensive experience in biostatistics, machine learning, computer science or a related discipline.",18-01-2024
39,RPMGlobal Holdings Limited,Brisbane QLD 4000,Australie,Software Consultant (Data Analytics),,"Posted
Posted 30+ days ago","Experience in implementing and maintaining data driven software to provide value for clients.
The Software Consultant will be responsible for providing support…",18-01-2024
40,Atlassian,Sydney NSW 2000,Australie,Senior Engineering Manager - AI & ML Platform,,"Posted
Posted 30+ days ago","Experience in AI & ML or Data.
You will be responsible for building effective teams, empowering them to achieve their goals, and putting those goals into a…",18-01-2024
41,Visa,Sydney NSW,Australie,Data Science Manager,,"Posted
Posted 30+ days ago","Experience being data scientist/engineer or analytics consultant.
Build data driven solutions/data science models aligned with client's priorities and leading…",18-01-2024
42,Alvarez and Marsal,Remote,Australie,Global Transaction Analytics - All Levels,,"Posted
Posted 30+ days ago","Experience in data analytics and/or transaction services.
Strong technical background with hands-on data analytics experience.",18-01-2024
43,ANZ Banking Group,Melbourne VIC,Australie,Data Scientist,,"Posted
Posted 9 days ago",Experience managing Machine learning lifecycle using MLFlow and performing data processing & transformation using PySpark and Object Store.,18-01-2024
44,Qantas Airways Limited,Sydney NSW,Australie,Digital Analytics Implementation Specialist,,"Posted
Posted 2 days ago","Proficiency in data analysis tools such as SQL, R or Python is a plus.
Ability to translate business requirements into efficient and reliable data solutions.",18-01-2024
45,TikTok,Sydney NSW,Australie,"Research Engineer - Multimodal Machine Learning, Trust and Safety (Australia)",,"Posted
Posted 30+ days ago","3+ years experience in one or more of the areas: machine learning, deep learning, computer vision, NLP, Audio, content understanding or participating in large…",18-01-2024
46,Google,Sydney NSW,Australie,"Research Scientist, Google Research",,"Posted
Posted 1 day ago","From creating experiments and prototyping implementations to designing new architectures, our research scientists work on real-world problems that span the…",18-01-2024
47,The University of Queensland,Gatton QLD,Australie,Postdoctoral Research Fellow in AMR Data Analytics,,"Posted
Posted 30+ days ago","New algorithms for data transformation, including developing technological links between data and analytics, data sharing and reporting.",18-01-2024
48,Laneway Analytics,Hybrid remote in Melbourne VIC,Australie,Actuarial Analyst – superannuation and data analytics,,"Posted
Posted 30+ days ago","Experience working with Tableau or equivalent data visualisation and BI tools (e.g. Tableau, PowerBI).
Exposure to advanced analytics applications, with the…",18-01-2024
49,Insurance Australia Group,New South Wales,Australie,"Data Science Chapter Lead, Claims",,"Posted
Posted 7 days ago","Extensive experience in data analytics, machine learning, statistical modelling, and other advanced data science techniques, with demonstrated proficiency in…",18-01-2024
50,REA Group,Hybrid remote in Melbourne VIC,Australie,ML Engineer,,"Posted
Posted 7 days ago","Proven relevant commercial experience in data science, ML engineering or similar roles.
Productionise new machine learning models and pipelines based on both…",18-01-2024
51,Deloitte,Canberra ACT 2609,Australie,Senior Manager - Analytics & AI | Canberra,,"Posted
Posted 30+ days ago",Demonstrated experience of understanding and leading a team to utilise a variety of data analytics and AI tools.,18-01-2024
52,Nixil,Hybrid remote in Melbourne VIC,Australie,Data Test Analyst - Remote,,"Posted
Today","Testing includes ETL, Data acquisition from files, and streaming data on Azure or SQL server.
Bachelor's Degree in IT, Business, or Computer Science (desirable)…",18-01-2024
53,Cotiviti,Sydney NSW 2000,Australie,Data Scientist,,"Posted
Posted 5 days ago","Solid skills in building statistical/data science models.
Collaborate with key internal stakeholders to productionise data science models and product features.",18-01-2024
54,Deloitte,Perth WA 6000,Australie,"Risk Manager (AI, Data Protection and Governance) - 12 Month Fixed Term Contract",,"Posted
Posted 1 day ago","Conducting monitoring activities and expand on the current scope of the data protection monitoring program;
Risk Manager (AI, Data Protection and Governance) -…",18-01-2024
55,Mindhive,Brisbane QLD 4000,Australie,QUT Graduate | Machine Learning Engineer,,"Posted
Posted 30+ days ago","5+ years experience developing and deploying machine learning systems into production,.
University or advanced degree in engineering, computer science,…",18-01-2024
56,Coles Group,Hawthorn East VIC 3123,Australie,Principal Data Science Architec,,"Posted
Posted 30+ days ago","This role will also have you research new opportunities in areas of prediction, regression, machine learning, text mining, NLP and emergent AI techniques to…",18-01-2024
57,RunTime,Greater Adelaide SA,Australie,Senior Machine Learning Scientist,,"Posted
Posted 30+ days ago","Develop and implement advanced machine learning and data science solutions.
Enthusiasm and experience in applying data science and machine learning.",18-01-2024
58,wiq,Bella Vista NSW 2153,Australie,Senior Machine Learning Engineer,,"Posted
Posted 13 days ago","Bachelor or above degree in Computer Science, Engineering or related field.
This includes for example data models and pipelines, API endpoints, Machine Learning…",18-01-2024
59,Vanguard,Hybrid remote in Melbourne VIC 3000,Australie,Senior Compliance Specialist - Data and Analytics,,"Posted
Today","Identifies discrepancies in collected data and possible solutions.
Identifies compliance data sources, leads the generation of information and insights via…",18-01-2024
60,Visa,Sydney NSW,Australie,Data Analyst,,"Posted
Posted 30+ days ago","Execute on the analytics plan with appropriate data mining and analytical techniques.
Provide subject matter expertise and quality assurance of complex data…",18-01-2024
61,MaxMine,Hybrid remote in Eastwood SA,Australie,Mid-Senior Data Scientist / Analytics Engineer,,"Posted
Posted 30+ days ago","1-4 years years of experience in data-science, developing data analysis and / or modelling and simulation products.",18-01-2024
62,Water Corporation,Remote in Perth WA,Australie,Senior Spatial Analytics Analyst,,"Posted
Posted 2 days ago","Lead continuous improvement of spatial analytics, data science processes and standards to improve the organisation’s spatial data analytics capability.",18-01-2024
63,S2M Digital,Remote,Australie,Machine Learning Engineer,,"Posted
Posted 27 days ago","Degree in computer science, mathematics, electronic engineering, or equivalent practical experience.
Proficiency in preprocessing and modeling with unstructured…",18-01-2024
64,Kaplan,Melbourne VIC,Australie,Computer Science Teacher,,"Posted
Posted 3 days ago","Proven ability to inspire and engage students at various learning levels.
Dedication to continuous learning and staying current with industry and academic…",18-01-2024
65,Amazon Commercial Services Pty Ltd,Melbourne VIC,Australie,"Data Analytics Manager, ACES",,"Posted
Posted 30+ days ago",Mining and analysing data from internal data and ingesting external data using APIs or building ETL pipelines for analysis and downstream use in analytics…,18-01-2024
66,TikTok,Sydney NSW,Australie,"Tech Lead, Multimodal Machine Learning - Trust and Safety (Australia)",,"Posted
Posted 30+ days ago","Hands on experience in one or more of the following areas: machine learning, deep learning, pattern recognition, anomaly detection, data mining, computer vision…",18-01-2024
67,FUJIFILM,Hybrid remote in New South Wales,Australie,Data Insight & BI Analyst,,"Posted
Posted 8 days ago","Collaborate across different business units to support analytics and data initiatives, providing critical business insights and identify business improvement…",18-01-2024
68,Openmesh Network,Remote,Australie,Junior Data Scientist,,"Posted
Posted 30+ days ago","Xnode, enables developers to build their own decentralized data clouds with data connectivity, data APIs, and query & analytics engines in mere minutes, instead…",18-01-2024
69,CSIRO,Perth WA 6151,Australie,CSIRO Postdoctoral Fellowship in AI Based Decision Support in Fracture Diagnosis,,"Posted
Posted 30+ days ago","Do you have a PhD in computer science, medical image analysis, computer vision, data science, machine learning?",18-01-2024
70,Deakin University,Melbourne VIC,Australie,Lecturer or Senior Lecturer in Department of Information Systems and Analytics,,"Posted
Posted 30+ days ago",Expertise in at least three of the following areas of teaching focus within the Department: business analytics; information systems; artificial intelligence for…,18-01-2024
71,David Jones,Hybrid remote in Melbourne VIC 3000,Australie,Data Analyst,,"Posted
Posted 2 days ago","Work with data owners and data stewards on data definitions and governance issues.
This may include working with data in a variety of structured or unstructured…",18-01-2024
72,Firesoft People,Sydney NSW,Australie,Lead Cloud Architect (ML/AI/Data),,"Posted
Posted 30+ days ago","Bachelor’s degree or equivalent practical experience.
Data and analytics tech ML and AI (ideal).
Experience in data infrastructure and application modernization…",18-01-2024
73,Pilbara Minerals,Perth WA,Australie,Health and Safety: Data Analytics & Technical Writer,,"Posted
Posted 9 days ago",Lead end-to-end projects to establish health and safety data analytics solutions for key performance metric visibility.,18-01-2024
74,Australian Secret Intelligent Service,Canberra ACT,Australie,ACTIVATE Graduate Program Intelligence Analyst,,"Posted
Posted 30+ days ago","Aptitude in techniques or technology which assist the collection, mining, manipulation, fusing, exploitation and visualisation of data.",18-01-2024
75,Bupa,Melbourne VIC 3000,Australie,Data Scientist,,"Posted
Posted 30+ days ago","Apply advanced analytics techniques – machine learning, statistical modelling, data mining etc. to develop algorithms and deliver intelligence.",18-01-2024
76,The Royal Melbourne Hospital,Melbourne VIC,Australie,Data Analyst,,"Posted
Posted 6 days ago","Experience using databases for data collection and data management.
Import and enter data to the COVID-19 databases and/or other IPSS databases.",18-01-2024
77,Showtime Consulting,Canberra ACT,Australie,Data Analysts,,"Posted
Posted 30+ days ago",Developing new data and analytics products with the Development team and implementing BAU requests and new optimisations.,18-01-2024
78,Scalene Group,Melbourne City Centre VIC,Australie,Graduate Data Scientist,,"Posted
Posted 30+ days ago","Experience in data cleansing, validation and preparation steps.
Experience with one or more from Power BI, Azure ML, Shiny, Python is preferred.",18-01-2024
79,Immutable X,Remote in Sydney NSW,Australie,Data Scientist,,"Posted
Posted 30+ days ago","Proven track record in data science or closely related roles, with 2+ years of experience working on data-driven projects, preferably in a product, platform, or…",18-01-2024
80,Pyramid Global Technologies,Western Australia,Australie,Data Analytics Visualisation Analyst,,"Posted
Posted 30+ days ago","Assist with the ongoing maintenance and enhancement of existing RShiny, RMarkdowns and Dash Apps, including working directly with project stakeholders to elicit…",18-01-2024
81,Life Without Barriers,Sydney NSW,Australie,P & C Data Analyst. Permanent Part Time,,"Posted
Posted 3 days ago","Deliver reliable data analytics and reporting services covering client, people and financial data.
Support the implementation of the data and analytics strategy…",18-01-2024
82,BlueScope,Mascot NSW 2020,Australie,Data Engineer,,"Posted
Posted 2 days ago","Developing managed data pipelines through a series of zones or stages within a data lake.
Implementing and managing data security protocols, ensuring data…",18-01-2024
83,DroneShield Limited,Sydney NSW,Australie,Data Annotator (AU),,"Posted
Posted 27 days ago","Experience with data labelling tools is an advantage.
Comfort with repetitive tasks and a passion for data accuracy.",18-01-2024
84,Octagon,Sydney NSW 2010,Australie,Graduate Analyst,,"Posted
Today","Manage, analyse and interpret complex data.
Interpret data to deliver bespoke commercial insight to clients.
Graduate Analysts are tasked with delivering timely…",18-01-2024
85,Virgin Australia,Hybrid remote in Brisbane QLD,Australie,Schedule Analytics Specialist,,"Posted
Posted 16 days ago","3 years' experience in an airline, transportation or commercial function.
The objective of the Schedule Analytics Specialist role is to lead the reporting and…",18-01-2024
86,Murdoch Childrens Research Institute,Parkville VIC,Australie,Epidemiologist,,"Posted
Posted 6 days ago","(Desired) Medical or public health degree.
Perform epidemiological research, including data collection, cleaning and analysis.",18-01-2024
87,RMIT University,Hybrid remote in Melbourne VIC 3000,Australie,Data Engineer,,"Posted
Posted 9 days ago","Coordinating and governing data management activities for analytics and reporting.
Defining requirements and standards for data and analytics technologies to be…",18-01-2024
88,KordaMentha,Perth WA,Australie,Data Analytics Manager,,"Posted
Posted 30+ days ago","Proficiency in data analysis and problem-solving, with the ability to interpret findings and identify key data insights.",18-01-2024
89,Australian National University,Canberra ACT 2601,Australie,Data Analyst,,"Posted
Posted 30+ days ago",The research management reporting and analytics group manages data and submissions to the Australian government and other bodies for statutory reporting.,18-01-2024
90,Komatsu Australia,Rutherford NSW,Australie,Machine Analyst - SmartCare,,"Posted
Today","Critical thinking, data analysis and report writing skills.
Implement advanced data analysis techniques to identify and address potential issues.",18-01-2024
91,endeavour group careers,Richmond VIC 3121,Australie,Data Science Chapter Lead,,"Posted
Posted 30+ days ago","Provide strategic input to the business on opportunities for value growth using data science.
Experience in developing machine learning algorithms to drive…",18-01-2024
92,UniSuper,Melbourne VIC,Australie,"Manager, Business Enablement Data & Analytics",,"Posted
Posted 9 days ago",Help us achieve our goals by articulating the value proposition of data & analytics to all levels of the organisation and making data & analytics outcomes…,18-01-2024
93,Novartis,Sydney NSW,Australie,Data and Insights Lead,,"Posted
Posted 30+ days ago","Knowledge of key concepts and practices in data governance and data management.
Hands-on skills in data analytics including the ability to create and maintain…",18-01-2024
94,WiseTech Global,Sydney NSW,Australie,TM1/Planning Analytics Specialist,,"Posted
Posted 13 days ago","Qualification in Commerce, Accounting, Business, or equivalent IT/Engineering degree.
Building out TM1 /Planning Analytics applications and reports from…",18-01-2024
95,Healthdirect Australia,Hybrid remote in Sydney NSW 2000,Australie,Data Engineer,,"Posted
Posted 10 days ago","Relevant tertiary qualifications in a field related to data engineering, computer science, or information technology.",18-01-2024
96,Edith Cowan University,Joondalup WA,Australie,Strategic Research Fellow/Senior Research Fellow,,"Posted
Just posted","This position attracts remuneration of $110,065 - $130,045 (ALEVB) or $134,035 (ALEVC) plus 17% University superannuation contribution.",18-01-2024
97,Sportsbet,Melbourne VIC,Australie,Senior Data Scientist,,"Posted
Posted 7 days ago","Within the broader data science team, we work closely with teams that work on areas such as safer gambling, marketing, customer lifecycle, and personalisation.",18-01-2024
98,Charles Sturt University,Bathurst NSW 2795,Australie,Research Data Engineer,,"Posted
Posted 8 days ago","The position demands a level of quality and rigor, along with an awareness of data analytics and data science functions.
Work type: Fixed Term - Full Time.",18-01-2024
99,Avenir Consulting,Sydney NSW,Australie,BA - Data Analytics (Contract),,"Posted
Posted 30+ days ago","Ability to wrangle data via SAS, R, Python or SQL.
Co-ordination of business or IT teams, in delivering large data related change initiatives.",18-01-2024
100,Singtel Group,Hybrid remote in New South Wales,Australie,Data Analyst - Optus Sport,,"Posted
Today","Data Science and/or Computer Science Engineering degree or equivalent is desirable.
Knowledge of customer segmentation and data architecture.",18-01-2024
101,TELUS,Remote,Australie,Media Search Analyst (Australia),,"Posted
Posted 30+ days ago",Preferred level of education/certification - High School degree or higher (Further opportunities may arise to contribute to other tasks on a freelance basis).,18-01-2024
102,Schlumberger,Perth WA,Australie,"Sample Catchers, Experienced Mud Logger, Data Analysts",,"Posted
Today","Minimum BSc in Geology, Geological Applied Sciences, Earth Sciences or Applied Sciences, Diploma degree in Oil and Gas or related.",18-01-2024
103,Intercontinental Exchange,Melbourne VIC 3006,Australie,Senior Reference Data Associate - Vietnamese Language Requirement,,"Posted
Posted 30+ days ago","Participate in ad hoc projects to optimize processes and/or improve the quality of the data set.
Our reference data is also used by internal stakeholders such…",18-01-2024
104,Schools (Government),Melbourne VIC,Australie,Learning Specialist - Science Domain Leader (Learning Specialist Range 3),,"Posted
Posted 29 days ago",Demonstrated ability to support teachers to evaluate the impact of learning and teaching programs on student learning growth.,18-01-2024
105,RACV,Melbourne VIC,Australie,Data & Insights Lead,,"Posted
Posted 30+ days ago","5+ years’ experience in data analytics or business intelligence.
Tertiary qualification in a highly analytical discipline (e.g. data analytics, statistics,…",18-01-2024
106,RMIT VN,Hybrid remote in Melbourne VIC,Australie,Data Engineer,,"Posted
Posted 9 days ago","Coordinating and governing data management activities for analytics and reporting.
Defining requirements and standards for data and analytics technologies to be…",18-01-2024
107,ERM Power Limited.,Melbourne VIC,Australie,Data Warehouse Developer,,"Posted
Posted 16 days ago","Experiences in data modelling, data integration and data manipulation at scale;
Practical experience building data pipelines and implementing data.",18-01-2024
108,Catholic Education Diocese of Parramatta,Hybrid remote in North Parramatta NSW 1750,Australie,Data Analyst,,"Posted
Today","Providing data analysis and insight generation using system data analytic tools, processes and procedures.
Ensuring accurate, timely and secure data management…",18-01-2024
109,Central Australian Aboriginal Congress,Alice Springs NT,Australie,Senior Data Analyst,,"Posted
Posted 3 days ago","The primary focus of the Senior Data Analyst (SDA) is to provide high-quality data and analytics to support ongoing management, reporting and evaluation across…",18-01-2024
110,BNP Paribas,Sydney NSW,Australie,Data Analyst (Temporary),,"Posted
Posted 9 days ago","Lead and/or undertake data quality activities and initiatives where required.
Ability, the mutual aid network for employees with a disability or a disabling or…",18-01-2024
111,Commonwealth Bank,Sydney NSW,Australie,Data Analyst,,"Posted
Posted 30+ days ago","Experience and knowledge in data and analytics.
Conducting end to end ownership and delivery of data driven remediation projects.",18-01-2024
112,Rio Tinto,Dampier WA,Australie,Track Machine Operator - Rail Network Renewals,,"Posted
Posted 10 days ago",Either rail maintenance experience OR good knowledge of rail operations and practices OR an Mechanical or Electrical trade background.,18-01-2024
113,ING,Sydney NSW,Australie,Chapter Lead - Data,,"Posted
Posted 30+ days ago","Experience in Big data, SAS Enterprise, Qlink or Tableau is desirable.
Advanced knowledge of modern data application and Data warehouse modelling techniques …",18-01-2024
114,Accenture,Sydney NSW,Australie,Data Governance Lead,,"Posted
Posted 30+ days ago","Drive change management at adoption to promote data drive culture.
Help clients establish Data Governance Programs and to drive data ownership.",18-01-2024
115,"FTI Consulting, Inc.",Sydney NSW 2000,Australie,"Director, Privacy & Data Governance - Technology",,"Posted
Posted 7 days ago","2+ years providing governance in technology environments that leverage machine learning and AI.
Expert knowledge of APAC and EU data privacy and data protection…",18-01-2024
116,Showtime Consulting,Canberra ACT,Australie,Data Engineers,,"Posted
Posted 30+ days ago","Defining the data architecture framework.
Translating business requirements into technical specifications, including data streams, integrations, transformations…",18-01-2024
117,OneSchool Global,Hybrid remote in New South Wales,Australie,Data & Reporting Analyst,,"Posted
Posted 30+ days ago","Experience with data warehousing and data modelling.
Develop and maintain data pipelines that enable the data collection process.",18-01-2024
118,Popul8IT,Sydney NSW,Australie,AI Specialist,,"Posted
Posted 30+ days ago","For Senior roles only - Bachelor’s or master's degree in computer science or a related field.
Contact potential or existing customers to inform them about a…",18-01-2024
119,"Regional Development, Manufacturing and Water",Brisbane QLD,Australie,Scientist (Geosciences/Hydrogeology/Data Science),,"Posted
Posted 27 days ago","A degree qualification in a relevant field such as geosciences, hydrogeology, groundwater modelling, geomechanical modelling, hydrology, engineering, remote…",18-01-2024
120,WaterNSW,Parramatta NSW,Australie,Data Engineer (Azure),,"Posted
Posted 27 days ago",Ready to make a splash in your career? WaterNSW is seeking an experienced Data Engineer (Azure) (Full-Time) to join our team. This is an opportunity to work…,18-01-2024
121,Boston Consulting Group,Perth WA 6000,Australie,Data Scientist – BCG X,,"Posted
Posted 30+ days ago","Who We Are BCG X is the tech build & design unit of BCG. Turbocharging BCG’s deep industry and functional expertise, BCG X brings together advanced tech…",18-01-2024
122,Workday,North Sydney NSW,Australie,"Product Specialist, Analytics & Extend",,"Posted
Posted 30 days ago","Your work days are brighter here. At Workday, it all began with a conversation over breakfast. When our founders met at a sunny California diner, they came…",18-01-2024
123,Xero,Melbourne VIC,Australie,Advanced Data Analyst,,"Posted
Posted 30+ days ago","Xero is a beautiful, easy-to-use platform that helps small businesses and their accounting and bookkeeping advisors grow and thrive. At Xero, our purpose is…",18-01-2024
124,TikTok,Sydney NSW,Australie,Product Data Scientist - TikTok Data Analysis - Australia,,"Posted
Posted 30+ days ago",Responsibilities About TikTok TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has…,18-01-2024
125,Transport For NSW,Hybrid remote in Macquarie Park NSW 2113,Australie,Data Engineer,,"Posted
Posted 1 day ago","Data Engineer Organisation/Entity: Transport For NSW Job category: Engineering Job location: Macquarie Park, NSW, AU, 2113 Job reference number: 91194…",18-01-2024
126,Talent International,Sydney NSW,Australie,Data Analyst (SQL & Power BI experience),,"Posted
Today",australia sydney contract au$800 - au$850 per day Data Analyst (Power BI & SQL) 6 months contract with strong possible extension thereafter. Good to have…,18-01-2024
